sample_id,Continent,Country,System,Waterbody,Zone Area,Tidal_Zone,Test_Area,Year,Date,mp/kg dw,Size_class,source,environment_type,location,Dominant Color,Size_Category
DOER_967,North America,United States,Estuarine,Tampa Bay,Coastal,Subtidal,Alafia R. Mouth,,,7200.0,unknown,DOER Database,Estuary,"Alafia R. Mouth, United States",transparent,unknown
DOER_966,North America,United States,Estuarine,Tampa Bay,Coastal,Subtidal,Ybor Channel,,,7900.0,unknown,DOER Database,Estuary,"Ybor Channel, United States",transparent,unknown
DOER_594,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,4366.0,microplastics,DOER Database,Estuary,"LLSWMA-4, United States",transparent,microplastics
DOER_593,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,272.0,microplastics,DOER Database,Estuary,"BC-C, United States",transparent,microplastics
DOER_1191,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,46.6,microplastics,DOER Database,Estuary,"LLSWMA-4, United States",transparent,microplastics
DOER_1186,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,69.9,microplastics,DOER Database,Estuary,"LLSWMA-4, United States",transparent,microplastics
DOER_1187,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,101.0,microplastics,DOER Database,Estuary,"LLSWMA-4, United States",transparent,microplastics
DOER_1193,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,93.2,microplastics,DOER Database,Estuary,"LLSWMA-4, United States",transparent,microplastics
DOER_1188,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,116.5,microplastics,DOER Database,Estuary,"LLSWMA-4, United States",transparent,microplastics
DOER_1190,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,23.3,microplastics,DOER Database,Estuary,"LLSWMA-4, United States",transparent,microplastics
DOER_1185,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,69.9,microplastics,DOER Database,Estuary,"LLSWMA-4, United States",transparent,microplastics
DOER_1192,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,93.2,microplastics,DOER Database,Estuary,"LLSWMA-4, United States",transparent,microplastics
DOER_1179,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,202.0,microplastics,DOER Database,Estuary,"LLSWMA-4, United States",green,microplastics
DOER_1189,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,31.1,microplastics,DOER Database,Estuary,"LLSWMA-4, United States",unknown,microplastics
DOER_1144,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,173.3,microplastics,DOER Database,Estuary,"BC-C, United States",unknown,microplastics
DOER_1181,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,46.6,microplastics,DOER Database,Estuary,"LLSWMA-4, United States",unknown,microplastics
DOER_1155,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,22.6,microplastics,DOER Database,Estuary,"BC-C, United States",unknown,microplastics
DOER_1154,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,0.0,microplastics,DOER Database,Estuary,"BC-C, United States",unknown,microplastics
DOER_1153,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,74.1,microplastics,DOER Database,Estuary,"BC-C, United States",unknown,microplastics
DOER_1152,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,26.5,microplastics,DOER Database,Estuary,"BC-C, United States",unknown,microplastics
DOER_1151,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,103.1,microplastics,DOER Database,Estuary,"BC-C, United States",unknown,microplastics
DOER_1150,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,26.5,microplastics,DOER Database,Estuary,"BC-C, United States",transparent,microplastics
DOER_1149,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,157.1,microplastics,DOER Database,Estuary,"BC-C, United States",transparent,microplastics
DOER_1148,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,0.0,microplastics,DOER Database,Estuary,"BC-C, United States",transparent,microplastics
DOER_1147,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,0.0,microplastics,DOER Database,Estuary,"BC-C, United States",transparent,microplastics
DOER_1157,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,46.2,microplastics,DOER Database,Estuary,"BC-C, United States",transparent,microplastics
DOER_1145,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,174.8,microplastics,DOER Database,Estuary,"BC-C, United States",transparent,microplastics
DOER_1158,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,0.0,microplastics,DOER Database,Estuary,"BC-C, United States",transparent,microplastics
DOER_1143,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,236.7,microplastics,DOER Database,Estuary,"BC-C, United States",transparent,microplastics
DOER_1142,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,194.4,microplastics,DOER Database,Estuary,"BC-C, United States",transparent,microplastics
DOER_1146,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,108.5,microplastics,DOER Database,Estuary,"BC-C, United States",transparent,microplastics
DOER_1169,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,1895.6,microplastics,DOER Database,Estuary,"LLSWMA-4, United States",transparent,microplastics
DOER_1183,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,108.8,microplastics,DOER Database,Estuary,"LLSWMA-4, United States",unknown,microplastics
DOER_1182,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,69.9,microplastics,DOER Database,Estuary,"LLSWMA-4, United States",transparent,microplastics
DOER_1180,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,132.1,microplastics,DOER Database,Estuary,"LLSWMA-4, United States",transparent,microplastics
DOER_1178,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,178.7,microplastics,DOER Database,Estuary,"LLSWMA-4, United States",transparent,microplastics
DOER_1177,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,93.2,microplastics,DOER Database,Estuary,"LLSWMA-4, United States",grey,microplastics
DOER_1176,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,124.3,microplastics,DOER Database,Estuary,"LLSWMA-4, United States",unknown,microplastics
DOER_1175,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,256.4,microplastics,DOER Database,Estuary,"LLSWMA-4, United States",unknown,microplastics
DOER_1174,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,233.1,microplastics,DOER Database,Estuary,"LLSWMA-4, United States",unknown,microplastics
DOER_1173,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,357.4,microplastics,DOER Database,Estuary,"LLSWMA-4, United States",unknown,microplastics
DOER_1172,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,341.8,microplastics,DOER Database,Estuary,"LLSWMA-4, United States",unknown,microplastics
DOER_1156,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,46.6,microplastics,DOER Database,Estuary,"BC-C, United States",unknown,microplastics
DOER_1170,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,574.9,microplastics,DOER Database,Estuary,"LLSWMA-4, United States",unknown,microplastics
DOER_1184,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,170.9,microplastics,DOER Database,Estuary,"LLSWMA-4, United States",transparent,microplastics
DOER_1168,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,473.9,microplastics,DOER Database,Estuary,"LLSWMA-4, United States",transparent,microplastics
DOER_1167,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,675.9,microplastics,DOER Database,Estuary,"LLSWMA-4, United States",transparent,microplastics
DOER_1166,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,807.9,microplastics,DOER Database,Estuary,"LLSWMA-4, United States",transparent,microplastics
DOER_1165,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,2377.2,microplastics,DOER Database,Estuary,"LLSWMA-4, United States",transparent,microplastics
DOER_1164,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,42.2,microplastics,DOER Database,Estuary,"BC-C, United States",transparent,microplastics
DOER_1163,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,37.3,microplastics,DOER Database,Estuary,"BC-C, United States",transparent,microplastics
DOER_1162,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,27.0,microplastics,DOER Database,Estuary,"BC-C, United States",transparent,microplastics
DOER_1161,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,20.1,microplastics,DOER Database,Estuary,"BC-C, United States",transparent,microplastics
DOER_1160,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,49.1,microplastics,DOER Database,Estuary,"BC-C, United States",transparent,microplastics
DOER_1159,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,20.1,microplastics,DOER Database,Estuary,"BC-C, United States",transparent,microplastics
DOER_1171,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,730.3,microplastics,DOER Database,Estuary,"LLSWMA-4, United States",transparent,microplastics
DOER_592,North America,United States,Estuarine,Narragansett Bay,Coastal,Subtidal,Wickford Harbor-Station 6,,,536.0,mesoplastics,DOER Database,Estuary,"Wickford Harbor-Station 6, United States",orange_brown_yellow,microplastics
DOER_591,North America,United States,Estuarine,Narragansett Bay,Coastal,Subtidal,Hope Island-Station 5,,,320.0,mesoplastics,DOER Database,Estuary,"Hope Island-Station 5, United States",transparent,microplastics
DOER_590,North America,United States,Estuarine,Narragansett Bay,Coastal,Subtidal,Arnold Point-Station 4,,,36836032.0,mesoplastics,DOER Database,Estuary,"Arnold Point-Station 4, United States",black,microplastics
DOER_589,North America,United States,Estuarine,Narragansett Bay,Coastal,Subtidal,Rocky Point-Station 3,,,2344.0,mesoplastics,DOER Database,Estuary,"Rocky Point-Station 3, United States",unknown,microplastics
DOER_588,North America,United States,Estuarine,Narragansett Bay,Coastal,Subtidal,Conimicut Point Beach-Station 2,,,2152.0,mesoplastics,DOER Database,Estuary,"Conimicut Point Beach-Station 2, United States",unknown,microplastics
DOER_587,North America,United States,Estuarine,Narragansett Bay,Coastal,Subtidal,Fields Point-Station 1,,,360.0,mesoplastics,DOER Database,Estuary,"Fields Point-Station 1, United States",unknown,microplastics
DOER_1194,North America,United States,Estuarine,Narragansett Bay,Coastal,Subtidal,Fort Adams State Park-Station 7,,,1512.0,mesoplastics,DOER Database,Estuary,"Fort Adams State Park-Station 7, United States",transparent,microplastics
DOER_519,Oceania,Australia,Estuarine,Multiple estuaries,Coastal,Subtidal,estuaries,,,79.1,microplastics,DOER Database,Estuary,"estuaries, Australia",green,microplastics
Longmen_2018-04-27_A_1.0_microplastics,Asia,Taiwan,Marine,Longmen,Beach,dune,Longmen_Beach,2018-01-01,2018-04-27,0.0,microplastics,Taiwan Beaches,Beach,"Longmen_Beach, Taiwan",unknown,mesoplastics
Longmen_2018-04-27_A_2.0_microplastics,Asia,Taiwan,Marine,Longmen,Beach,dune,Longmen_Beach,2018-01-01,2018-04-27,0.0,microplastics,Taiwan Beaches,Beach,"Longmen_Beach, Taiwan",unknown,mesoplastics
Longmen_2018-04-27_A_3.0_microplastics,Asia,Taiwan,Marine,Longmen,Beach,dune,Longmen_Beach,2018-01-01,2018-04-27,2.3856858846918487,microplastics,Taiwan Beaches,Beach,"Longmen_Beach, Taiwan",unknown,mesoplastics
