Date_YYYY-MM-DD,Country_Region,Location_name,Location_lat,Location_lon,Transect,Position,Size_min_mm,Size_max_mm,Size_class,no_color,black,grey,red_pink,orange_brown_yellow,green,blue,purple
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,18,1,5,microplastics,1,0,0,0,0,0,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,19,1,5,microplastics,3,1,0,0,0,0,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,20,1,5,microplastics,13,2,0,0,0,0,1,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,21,1,5,microplastics,22,1,0,0,0,5,1,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,22,1,5,microplastics,0,0,0,0,0,1,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,23,1,5,microplastics,1,0,0,0,0,0,1,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,1,1,5,microplastics,665,1,2,2,1,0,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,2,1,5,microplastics,78,1,0,0,0,0,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,3,1,5,microplastics,85,0,0,0,0,0,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,4,1,5,microplastics,61,1,0,0,0,2,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,5,1,5,microplastics,387,3,1,0,2,0,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,6,1,5,microplastics,93,2,1,0,0,1,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,7,1,5,microplastics,63,0,1,0,1,0,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,8,1,5,microplastics,180,0,3,1,0,0,1,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,9,1,5,microplastics,352,3,2,4,0,2,3,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,10,1,5,microplastics,81,0,0,0,0,0,0,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,11,1,5,microplastics,28,0,0,1,0,1,1,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,12,1,5,microplastics,20,3,0,2,0,1,3,0
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,13,1,5,microplastics,20,0,1,2,0,1,1,0
