Date_YYYY-MM-DD,Country_Region,Location_name,Location_lat,Location_lon,Transect,Position,Size_min_mm,Size_max_mm,Size_class,Particle_count,Particle_weight_g,Weight_dry_sand_g,Beach_Zone
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,2,1,5,microplastics,185,0.171,1309.4,dune
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,3,1,5,microplastics,63,0.090,1375.3,dune
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,4,1,5,microplastics,104,0.101,1345.8,dune
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,5,1,5,microplastics,229,0.198,1406.4,dune
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,6,1,5,microplastics,34,0.097,1442.7,dune
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,7,1,5,microplastics,68,0.078,1383.4,backshore
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,8,1,5,microplastics,210,0.269,1337.8,backshore
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,9,1,5,microplastics,158,0.313,1349.8,backshore
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,10,1,5,microplastics,67,0.137,1327.2,backshore
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,11,1,5,microplastics,26,0.071,1491.2,backshore
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,12,1,5,microplastics,12,0.038,1470.6,backshore
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,13,1,5,microplastics,87,0.298,1436.5,storm_line
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,14,1,5,microplastics,65,0.432,1525.1,storm_line
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,15,1,5,microplastics,21,0.096,1534.9,storm_line
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,16,1,5,microplastics,3,0.005,1416.2,supra_littoral
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,17,1,5,microplastics,0,0.000,1311.3,supra_littoral
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,18,1,5,microplastics,0,0.000,1377.1,supra_littoral
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,19,1,5,microplastics,1,0.009,1358.3,supra_littoral
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,20,1,5,microplastics,13,0.056,1344.9,high_tide_line
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,21,1,5,microplastics,8,0.026,1119.7,high_tide_line
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,22,1,5,microplastics,1,0.000,1277.9,intertidal
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,23,1,5,microplastics,1,0.001,1252.0,intertidal
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,1,5,25,mesoplastics,30,0.480,1333.3,dune
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,2,5,25,mesoplastics,35,0.219,1317.5,dune
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,3,5,25,mesoplastics,11,1.475,1366.4,dune
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,4,5,25,mesoplastics,11,0.128,1333.5,dune
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,5,5,25,mesoplastics,59,0.492,1346.1,dune
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,6,5,25,mesoplastics,2,0.435,1437.9,dune
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,7,5,25,mesoplastics,14,0.194,1373.2,backshore
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,8,5,25,mesoplastics,46,1.372,1348.9,backshore
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,9,5,25,mesoplastics,42,0.739,1371.4,backshore
2018-05-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,10,5,25,mesoplastics,10,0.517,1469.3,backshore
