sample_id,Continent,Country,System,Waterbody,Zone Area,Tidal_Zone,Test_Area,Year,Date,mp/kg dw,Size_class,Dominant_Size,dominant_color,source,environment_type,location,concentration_level,color_display
DOER_593,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,2016.0,unknown,272.0,microplastics,<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Medium,unknown
DOER_1191,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,2016.0,unknown,46.6,microplastics,<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Low,unknown
DOER_1186,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,2016.0,unknown,69.9,microplastics,<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Low,unknown
DOER_1187,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,2016.0,unknown,101.0,microplastics,<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Medium,unknown
DOER_1193,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,2016.0,unknown,93.2,microplastics,<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Low,unknown
DOER_1188,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,2016.0,unknown,116.5,microplastics,<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Medium,unknown
DOER_1190,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,2016.0,unknown,23.3,microplastics,<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Low,unknown
DOER_1185,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,2016.0,unknown,69.9,microplastics,<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Low,unknown
DOER_1192,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,2016.0,unknown,93.2,microplastics,<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Low,unknown
DOER_1179,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,2016.0,unknown,202.0,microplastics,<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Medium,unknown
DOER_1189,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,2016.0,unknown,31.1,microplastics,<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Low,unknown
DOER_1144,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,2016.0,unknown,173.3,microplastics,<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Medium,unknown
DOER_1181,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,2016.0,unknown,46.6,microplastics,<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Low,unknown
DOER_1155,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,2016.0,unknown,22.6,microplastics,<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Low,unknown
DOER_1154,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,2016.0,unknown,0.0,microplastics,<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Very Low,unknown
DOER_1153,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,2016.0,unknown,74.1,microplastics,<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Low,unknown
DOER_1152,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,2016.0,unknown,26.5,microplastics,<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Low,unknown
DOER_1151,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,2016.0,unknown,103.1,microplastics,<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Medium,unknown
DOER_1150,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,2016.0,unknown,26.5,microplastics,<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Low,unknown
DOER_1149,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,2016.0,unknown,157.1,microplastics,<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Medium,unknown
