sample_id,Continent,Country,region,System,Waterbody,Zone Area,Tidal_Zone,Test_Area,Year,Date,mp/kg dw,log_concentration,Size_class,Standardized_Shapes,Dominant_Size,dominant_color,source,environment_type,location,concentration_level
DOER_960,North America,United States,North America,Estuarine,Tampa Bay,Coastal,Subtidal,Egmont Key,,,2000.0,3.3012470886362113,unknown,fragment,(N/R),unknown,DOER Database,Estuary,"Egmont Key, United States",High
DOER_961,North America,United States,North America,Estuarine,Tampa Bay,Coastal,Subtidal,Lower Tampa Bay,,,1100.0,3.041787318971752,unknown,fragment,(N/R),unknown,DOER Database,Estuary,"Lower Tampa Bay, United States",High
DOER_962,North America,United States,North America,Estuarine,Tampa Bay,Coastal,Subtidal,Mid Tampa Bay,,,300.0,2.4785664955938436,unknown,fragment,(N/R),unknown,DOER Database,Estuary,"Mid Tampa Bay, United States",Medium
DOER_963,North America,United States,North America,Estuarine,Tampa Bay,Coastal,Subtidal,Mid Tampa Bay,,,400.0,2.603144372620182,unknown,fragment,(N/R),unknown,DOER Database,Estuary,"Mid Tampa Bay, United States",Medium
DOER_964,North America,United States,North America,Estuarine,Tampa Bay,Coastal,Subtidal,Old Tampa Bay,,,1800.0,3.2555137128195333,unknown,fragment,(N/R),unknown,DOER Database,Estuary,"Old Tampa Bay, United States",High
DOER_965,North America,United States,North America,Estuarine,Tampa Bay,Coastal,Subtidal,Hillsborough Bay,,,600.0,2.7788744720027396,unknown,fragment,(N/R),unknown,DOER Database,Estuary,"Hillsborough Bay, United States",Medium
DOER_967,North America,United States,North America,Estuarine,Tampa Bay,Coastal,Subtidal,Alafia R. Mouth,,,7200.0,3.8573928109209015,unknown,fragment,(N/R),unknown,DOER Database,Estuary,"Alafia R. Mouth, United States",High
DOER_966,North America,United States,North America,Estuarine,Tampa Bay,Coastal,Subtidal,Ybor Channel,,,7900.0,3.89768206179642,unknown,fragment,(N/R),unknown,DOER Database,Estuary,"Ybor Channel, United States",High
DOER_594,North America,United States,North America,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,4366.0,3.64018319192134,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",High
DOER_593,North America,United States,North America,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,272.0,2.436162647040756,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Medium
